resource_name;color1;max_duplicates;tags;type;attributes;icon;custom_scene;color2;base_weight;is_notable;multiplier_per_tag;multiplier_if_tag_present;multiplier_if_tag_not_present;max_tags_present;list_item_delimeter;list_row_delimeter
Upgrade: Elemental Damage;ffffffff;9;[elemental];PASSIVE;[1];res://example/Random Upgrades/icons/all_icons/all_icons_6.tres;;fff64c4c;10;No;;;elemental 0;; ;"
"
Upgrade: Health;ffffffff;9;[health, melee];PASSIVE;[2];res://example/Random Upgrades/icons/all_icons/all_icons_1.tres;;ff21ff3e;10;No;strength 1.5 melee 2.0;;;; ;"
"
Mastery: Magic;ffffd829;9;[magic, mastery];MASTERY;[1, 1, 4];res://example/Random Upgrades/icons/all_icons/all_icons_5.tres;;ff6831d3;1;Yes;magic 1.2;;magic 0;; ;"
"
Mastery: Strength;ffffd829;9;[strength, mastery];MASTERY;[0, 0, 4];res://example/Random Upgrades/icons/all_icons/all_icons_2.tres;;fffdf033;1;Yes;;;strength 0;; ;"
"
Upgrade: Area of Effect;ffffffff;4;[aoe];PASSIVE;[3];res://example/Random Upgrades/icons/all_icons/all_icons_6.tres;;fff64c4c;10;No;;;aoe 0;; ;"
"
Upgrade: Magic;ffffffff;9;[magic];PASSIVE;[1];res://example/Random Upgrades/icons/all_icons/all_icons_5.tres;;ff3073e6;10;No;;;magic 0;; ;"
"
Upgrade: Strength;ffffffff;9;[strength];PASSIVE;[0];res://example/Random Upgrades/icons/all_icons/all_icons_2.tres;;fffc9531;10;No;;;strength 0;; ;"
"
Weapon: Axe;ffa2c2ff;1;[strength, melee, weapon];WEAPON;[0, 2];res://example/Random Upgrades/icons/all_icons/all_icons_3.tres;;fffc9531;10;No;strength 2.0;;;weapon 4; ;"
"
Weapon: Blizzard;ffa2c2ff;1;[weapon, magic, elemental];WEAPON;[1, 2];res://example/Random Upgrades/icons/all_icons/all_icons_4.tres;;ff3073e6;10;No;magic 2.0;;;weapon 4; ;"
"
Weapon: Chaos Blast;ffa2c2ff;1;[weapon, magic, projectile, legendary];WEAPON;[1, 1, 1, 3];res://example/Random Upgrades/icons/all_icons/all_icons_4.tres;res://example/Random Upgrades/new scene.tscn;ff6831d3;1;Yes;magic 2.0;;;weapon 4; ;"
"
Weapon: Daggers;ffa2c2ff;1;[weapon, strength, projectile];WEAPON;[0, 3];res://example/Random Upgrades/icons/all_icons/all_icons_3.tres;;fffc9531;10;No;strength 2.0;;;weapon 4; ;"
"
Weapon: Fireball;ffa2c2ff;1;[weapon, magic, projectile, elemental];WEAPON;[1, 2];res://example/Random Upgrades/icons/all_icons/all_icons_4.tres;;ff3073e6;10;No;magic 2.0;;;weapon 4; ;"
"
Weapon: Giga Sword;ffa2c2ff;1;[weapon, strength, melee, legendary];WEAPON;[0, 0, 0, 2];res://example/Random Upgrades/icons/all_icons/all_icons_3.tres;res://example/Random Upgrades/new scene.tscn;fffdf033;1;Yes;strength 2.0;;;weapon 4; ;"
"
Weapon: Lightning;ffa2c2ff;1;[weapon, magic, elemental];WEAPON;[1, 3];res://example/Random Upgrades/icons/all_icons/all_icons_4.tres;;ff3073e6;10;No;magic 2.0;;;weapon 4; ;"
"
Weapon: Spear;ffa2c2ff;1;[weapon, strength, melee];WEAPON;[0, 3];res://example/Random Upgrades/icons/all_icons/all_icons_3.tres;;fffc9531;10;No;strength 2.0;;;weapon 4; ;"
"
